EPA_ID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,FIPS,LONGITUDE,LATITUDE,NPL_STATUS,STATUSDATE,HRS_SCORE
UT3213820894,TOOELE ARMY DEPOT (NORTH AREA),3 MI S OF TOOELE ON HWY 36,TOOELE,UT,84074,TOOELE,49045,-112.375,40.5416,Final,8/30/1990,53.95
CA4971520834,TRACY DEFENSE DEPOT (USARMY),CHRISMAN RD,TRACY,CA,95376,SAN JOAQUIN,6077,-121.3911,37.7152,Final,8/30/1990,37.16
CA5570024575,TRAVIS AIR FORCE BASE,TRAVIS AFB,TRAVIS AFB,CA,94535,SOLANO,6095,-121.9332,38.2644,Final,11/21/1989,29.49
CA1170090087,TREASURE ISLAND NAVAL STATION-HUNTERS POINT ANNEX,HUNTERS POINT NAVAL SHIPYARD,SAN FRANCISCO,CA,94124,SAN FRANCISCO,6075,-122.3673,37.7222,Final,11/21/1989,48.77
CAD009159088,"TRW MICROWAVE, INC (BUILDING 825)",825 STEWART DR,SUNNYVALE,CA,94086,SANTA CLARA,6085,-122.0085,37.3846,Final,2/21/1990,31.94
UTN000802704,U.S. MAGNESIUM,15 MILES N OF ROWLEY EXIT ON I-80,TOOELE COUNTY,UT,84029,TOOELE,49045,-112.7197,40.9147,Final,11/4/2009,59.18
IDD055030852,UNION PACIFIC RAILROAD CO.,300 S HARRISON,POCATELLO,ID,83201,BANNOCK,16005,-112.4876,42.8954,Deleted,9/22/1997,53.47
CAD981436363,UNITED HECKATHORN CO.,8TH & WRIGHT,RICHMOND,CA,94804,CONTRA COSTA,6013,-122.3654,37.9226,Final,3/14/1990,38.49
UTD980667240,UTAH POWER & LIGHT/AMERICAN BARREL CO.,600 W SOUTH TEMPLE,SALT LAKE CITY,UT,84104,SALT LAKE,49035,-111.9055,40.7704,Final,10/4/1989,37.93
CAD063020143,"VALLEY WOOD PRESERVING, INC.",2237 S GOLDEN STATE BLVD,TURLOCK,CA,95380,STANISLAUS,6099,-120.8239,37.4727,Final,3/31/1989,32.01
UTD000716399,WASATCH CHEMICAL CO. (LOT 6),1979 S 7TH W,SALT LAKE CITY,UT,84104,SALT LAKE,49035,-111.8747,40.7226,Final,2/11/1991,49.91
CAD980884357,"WASTE DISPOSAL, INC.",12731 E LOS NIETOS RD,SANTA FE SPRINGS,CA,90670,LOS ANGELES,6037,-118.055,33.95,Final,7/22/1987,34.6
CAD980893234,WATKINS-JOHNSON CO. (STEWART DIVISION PLANT),440 KINGS VILLAGE RD,SCOTTS VALLEY,CA,95066,SANTA CRUZ,6087,-122.029,37.0511,Final,8/30/1990,28.9
CAD980894679,WESTERN PACIFIC RAILROAD CO.,SEC 19 T19N R4E 2 MI S OF,OROVILLE,CA,95965,BUTTE,6007,-121.5525,39.483,Deleted,8/29/2001,39.79
CAD001864081,WESTINGHOUSE ELECTRIC CORP. (SUNNYVALE PLANT),401 HENDY AVENUE,SUNNYVALE,CA,95117,SANTA CLARA,6085,-122.0225,37.3787,Final,6/10/1986,39.93
AZ7570028582,WILLIAMS AIR FORCE BASE,WILLIAMS AFB,CHANDLER,AZ,85224,MARICOPA,4013,-111.6519,33.3069,Final,11/21/1989,37.93
AZ0971590062,YUMA MARINE CORPS AIR STATION,AVENUE 3E,YUMA,AZ,85369,YUMA,4027,-114.5888,32.6545,Final,2/21/1990,32.24
