company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Atari Inc.,155 Moffett Park Dr.,-122.023328,37.404068,"-122.023328, 37.404068","37.404068, -122.023328",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1183 Bordeaux Dr.,-122.0236,37.408356,"-122.0236, 37.408356","37.408356, -122.0236",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1285 Forgewood Ave.,-121.992,37.409528,"-121.992, 37.409528","37.409528, -121.992",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,275 Gibraltar Dr.,-122.016363,37.409773,"-122.016363, 37.409773","37.409773, -122.016363",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1272 Borregas Ave,-122.018385,37.410451,"-122.018385, 37.410451","37.410451, -122.018385",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1399 Moffett Park Dr.,-122.00064,37.41183,"-122.00064, 37.41183","37.41183, -122.00064",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1320 Bordeaux Dr.,-122.021686,37.414143,"-122.021686, 37.414143","37.414143, -122.021686",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1340 Bordeaux Dr.,-122.021492,37.414956,"-122.021492, 37.414956","37.414956, -122.021492",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,390 Caribbean Dr.,-122.009314,37.41576,"-122.009314, 37.41576","37.41576, -122.009314",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1383 Borregas Ave.,-122.016557,37.416064,"-122.016557, 37.416064","37.416064, -122.016557",94086,Sunnyvale,California,1972,,manufacturing,Rich's Complete Guide to Silicon Valley,,,Original site of Atari,
Ask Computer Systems Inc.,730 Distel Dr.,-122.104203,37.394985,"-122.104203, 37.394985","37.394985, -122.104203",94022,Los Altos,California,1972,1994,software,Rich's Complete Guide to Silicon Valley,,,,
AAFCO Precision Manufacturing,"3150 Coronado Road, Santa Clara, CA",,,,,,Santa Clara,California,1973,,manufacturing,,,,,
Apple Computer,232 Java Dr.,-122.016605,37.411236,"-122.016605, 37.411236","37.411236, -122.016605",94086,Sunnyvale,California,1976,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Apple Computer,1335 Bordeaux Dr.,-122.021526,37.414713,"-122.021526, 37.414713","37.414713, -122.021526",94086,Sunnyvale,California,1976,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER,3073 N. 1ST ST.,-121.935406,37.396149,"-121.935406, 37.396149","37.396149, -121.935406",95131,San Jose,California,1976,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER,2720 ORCHARD PKWY.,-121.933015,37.386567,"-121.933015, 37.386567","37.386567, -121.933015",95134,San Jose,California,1976,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER INC .,10260 BANDLEY DR.,-122.03432,37.327437,"-122.03432, 37.327437","37.327437, -122.03432",95014,Santa Clara,California,1976,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER INC.,10260 BUBB RD.,-122.049987,37.318845,"-122.049987, 37.318845","37.318845, -122.049987",95014,Santa Clara,California,1976,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Altos Computer Systems,"4340 Stevens Creek Blvd, San Jose, CA",-121.9423322,37.3232601,"-121.9423322, 37.3232601","37.3232601, -121.9423322",,"Stevens Creek Boulevard, Los Altos Hills",California,1977,1990,manufacturing,1977 San Jose City Directory,,,,
Flight Dynamics,,,,", ",", ",,,Oregon,1977,,manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 64.",,,,
AVANTEK INC.,481 COTTONWOOD DR.,-121.912029,37.40535,"-121.912029, 37.40535","37.40535, -121.912029",95035,Milpitas,California,1981,,manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Mentor Graphics,,,,", ",", ",,,Oregon,1981,,manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 66.",,,,
Metheus Corporation,,,,", ",", ",,,Oregon,1981,,software,"Dodds and Wollner, *The Silicon Frontier*, p. 73.",,,,
Altera,101 Innovation Drive,,,", ",", ",95134,San Jose,California,1983,,manufacturing,Computer History Museum,,,,
Lattice International,,,,", ",", ",,,Oregon,1983,,manufacturing,,,,,
Planar Systems,,,,", ",", ",,,Oregon,1983,,manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 71.",,,,
Apple Computer,1 Infinity Loop,,,", ",", ",95014,Cupertino,California,1993,,manufacturing,,,,,
Addington Processing Lab,680 W. MAUDE AVE.,-122.033495,37.390654,"-122.033495, 37.390654","37.390654, -122.033495",94086,Sunnyvale,California,,,data processing,Rich's Complete Guide to Silicon Valley,,,,
Alpha Data Systems,"1890 Camden Ave, San Jose, CA",-121.9155518,37.2567899,"-121.9155518, 37.2567899","37.2567899, -121.9155518",,San Jose,California,,,data processing,1970 San Jose City Directory,,,Company type unclear.,
Computer Usage Co Inc,"3181 Porter Dr, Palo Alto, CA",-122.1492098,37.4080055,"-122.1492098, 37.4080055","37.4080055, -122.1492098",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Control Data Corp,"3330 Hillview Ave, Palo Alto, CA",-122.1459736,37.4059745,"-122.145973621447, 37.4059745","37.4059745, -122.145973621447",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Control Data Corp,"3260 Hillview Ave, Palo Alto, CA",-122.1459675,37.4076985,"-122.145967505208, 37.4076985","37.4076985, -122.145967505208",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Control Data Corp,"3145 Porter Dr, Palo Alto, CA",-122.151079,37.4089785,"-122.151078972952, 37.4089785","37.4089785, -122.151078972952",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Data International,"437 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Datex Corp,"1885 The Alameda, San Jose, CA",-121.922736,37.34039321,"-121.92273601399, 37.3403932054686","37.3403932054686, -121.92273601399",,San Jose,California,,,data processing,1962 San Jose City Directory,,,,
Diversified Computer Applications,"516 University Ave, Palo Alto, CA",-122.1588132,37.44855475,"-122.158813243185, 37.4485547485718","37.4485547485718, -122.158813243185",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Engineering Data Services,"499 Hamilton Ave, Palo Alto, CA",-122.158107,37.447463,"-122.158107, 37.447463","37.447463, -122.158107",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
International Business Machines Corp,"Monterey and Cottle Roads, San Jose, CA",,,", ",", ",,San Jose,California,,,data processing,1962 San Jose City Directory,,,,
Intl Bush Mach Corp (Custom Eng Serv OFC) ,"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Medac System of San Francisco,"800 San Antonio Road, Palo Alto, CA",-122.1015364,37.4202915,"-122.1015364, 37.4202915","37.4202915, -122.1015364",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Norwich Manufacturing Co Inc,"255 Keyes, San Jose, CA",-121.8728328,37.32238532,"-121.872832819486, 37.3223853205066","37.3223853205066, -121.872832819486",,San Jose,California,,,data processing,1962 San Jose City Directory,,,,
Richardson C and E Associates,"201 Town & Country Road, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Service Bureau Corp,"2450 Watson Ct, Palo Alto, CA",-122.120664,37.448044,"-122.120664046568, 37.448044","37.448044, -122.120664046568",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Service Bureau Corp,"840 Pedro Suite 2, San Jose, CA",,,", ",", ",,San Jose,California,,,data processing,1962 San Jose City Directory,,,,
Techdata Subsidiary of L C Cole Co Inc,"2905 El Camino Real, Palo Alto, CA",-122.1406172,37.4226375,"-122.140617220864, 37.4226375","37.4226375, -122.140617220864",,Palo Alto,California,,,data processing,"Palo Alto Directory, 1956",,,,
Businessland,,,,", ",", ",,,California,,,distribution,,,,,
Computerland,,,,", ",", ",,,California,,,distribution,,,,,
Softsel Computer Products,,,,", ",", ",,,California,,,distribution,,,,,
Tech Services Inc,"800 San Antonio Road, Palo Alto, CA",-122.1015146,37.4202223,"-122.1015146, 37.4202223","37.4202223, -122.1015146",,Palo Alto,California,,,electrical engineering,"Palo Alto Directory, 1970",,,,
Tektronix Inc,"3750 Fabian Way, Palo Alto, CA",-122.1047329,37.4306925,"-122.104732900754, 37.4306925","37.4306925, -122.104732900754",,Palo Alto,California,,,electrical engineering,"Palo Alto Directory, 1970",,,,
Teledyne,"3165 Porter Dr, Palo Alto, CA",-122.1498549,37.40866645,"-122.14985490364, 37.40866645","37.40866645, -122.14985490364",,Palo Alto,California,,,electrical engineering,"Palo Alto Directory, 1970",,,,
Teledyne Isotopes,"4062 Fabian Way, Palo Alto, CA",-122.1042399,37.4258394,"-122.1042399, 37.4258394","37.4258394, -122.1042399",,Palo Alto,California,,,electrical engineering,"Palo Alto Directory, 1970",,,,
Texas Instruments Inc,"230 California Ave, Palo Alto, CA",-122.1405867,37.43128134,"-122.140586735818, 37.4312813357953","37.4312813357953, -122.140586735818",,Palo Alto,California,,,electrical engineering,"Palo Alto Directory, 1970",,,,
Transaction Systems Inc,"490 San Antonio Rd, Palo Alto, CA",-122.1043862,37.41358988,"-122.104386163843, 37.4135898835005","37.4135898835005, -122.104386163843",,Palo Alto,California,,,electrical engineering,"Palo Alto Directory, 1970",,,,
Adcole Corp,"999 Commercial St, Palo Alto, CA",-122.0999304,37.425297,"-122.099930378289, 37.425297","37.425297, -122.099930378289",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Advalloy Inc,"844 E. Charleston Rd, Palo Alto, CA",-122.1033371,37.4216025,"-122.103337087694, 37.4216025","37.4216025, -122.103337087694",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Agastat (Div of Elastic Stop Nut Corp of Am),"165 University Ave, Palo Alto, CA",-122.163336,37.44454495,"-122.163336014728, 37.44454495","37.44454495, -122.163336014728",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Alfred Electronics of Palo Alto,"3176 Porter Dr, Palo Alto, CA",-122.1493621,37.4070955,"-122.149362060561, 37.4070955","37.4070955, -122.149362060561",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Alfred Electronics of Palo Alto,"3176 Porter Dr, Palo Alto, CA",-122.1493621,37.4070955,"-122.149362060561, 37.4070955","37.4070955, -122.149362060561",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Allen Electronic Corp,"930 Industrial Ave, Palo Alto, CA",-122.0983393,37.4230315,"-122.098339326426, 37.4230315","37.4230315, -122.098339326426",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Allen Electronic Corp,"930 Industrial Ave, Palo Alto, CA",-122.0983393,37.4230315,"-122.098339326426, 37.4230315","37.4230315, -122.098339326426",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Alma Corp,"470 San Antonio Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Alpar Manufacturing Corp,"220 Demeter St, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Alto Scientific Co Inc,"4083 Transport St, Palo Alto, CA",-122.098445,37.424613,"-122.098444966008, 37.424613","37.424613, -122.098444966008",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Alto Scientific Co Inc,"4083 Transport St, Palo Alto, CA",-122.098445,37.424613,"-122.098444966008, 37.424613","37.424613, -122.098444966008",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Alto Scientific Co Inc,"4083 Transport St, Palo Alto, CA",-122.098445,37.424613,"-122.098444966008, 37.424613","37.424613, -122.098444966008",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
AMP Inc,"4151 Middlefield Road, Palo Alto, CA",-122.1043964,37.4172031,"-122.104396416287, 37.4172031","37.4172031, -122.104396416287",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
AMP Inc,"4151 Middlefield Road, Palo Alto, CA",-122.1043964,37.4172031,"-122.104396416287, 37.4172031","37.4172031, -122.104396416287",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
AMP Inc,"4151 Middlefield Rd, Palo Alto, CA",-122.1043964,37.4172031,"-122.104396416287, 37.4172031","37.4172031, -122.104396416287",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Amperex Electronic Corp,"801 E. Charleston Road, Palo Alto, CA",-122.1049954,37.42241,"-122.104995395391, 37.42241","37.42241, -122.104995395391",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Ampex Corporation - Technical Library,"401 Broadway, Redwood City, CA",-122.2413422,37.485867,"-122.2413422, 37.485867","37.485867, -122.2413422",,Redwood City,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Andrew California Corp,"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Andrew Corp,"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Andrew Corp,"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Antekna Inc,"4015 Fabian Way, Palo Alto, CA",-122.1042399,37.4258394,"-122.1042399, 37.4258394","37.4258394, -122.1042399",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Applied Space Products Inc,"825 San Antonio Road, Palo Alto, CA",-122.10374,37.4156375,"-122.10374, 37.4156375","37.4156375, -122.10374",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Applied Space Products Inc,"825 San Antonio Rd, Palo Alto, CA",-122.1017652,37.4276246,"-122.1017652, 37.4276246","37.4276246, -122.1017652",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Applied Space Products Inc,"625 San Antonio Rd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Applied Technology Inc,"2626 Hanover, Palo Alto, CA",-122.1487238,37.4176305,"-122.148723833846, 37.4176305","37.4176305, -122.148723833846",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Astro Structures Inc,"220 Demeter St, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Bahrs Industries ,"2626 Hanover St, Palo Alto, CA",-122.1487238,37.4176305,"-122.148723833846, 37.4176305","37.4176305, -122.148723833846",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Barrett Electronics Corp (Western Division),"895 Commercial St, Palo Alto, CA",-122.1005801,37.4228106,"-122.1005801, 37.4228106","37.4228106, -122.1005801",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Barrett Electronics Corp (Western Division),"895 Commercial St, Palo Alto, CA",-122.1005801,37.4228106,"-122.1005801, 37.4228106","37.4228106, -122.1005801",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Barrett Electronics Corp (Western Division),"897 Commercial St, Palo Alto, CA",-122.1006552,37.4228852,"-122.1006552, 37.4228852","37.4228852, -122.1006552",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Barry Research,"800 Welch Rd, Palo Alto, CA",-122.1772634,37.437235,"-122.177263446286, 37.437235","37.437235, -122.177263446286",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Bay Associates Inc,"892 Commercial, Palo Alto, CA",-122.0998599,37.422565,"-122.0998599, 37.422565","37.422565, -122.0998599",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Bay Associates Inc,"892 Commercial, Palo Alto, CA",-122.0998599,37.422565,"-122.0998599, 37.422565","37.422565, -122.0998599",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Beale Associates,"218 California Ave Palo Alto, CA",-122.1406734,37.43117437,"-122.140673406936, 37.4311743709518","37.4311743709518, -122.140673406936",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
BEM Co,"960 San Antonio Road, Palo Alto, CA",-122.1012263,37.4255222,"-122.101226289453, 37.4255222022728","37.4255222022728, -122.101226289453",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
