company,address,longitude,latitude,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Alfred Electronics,"895 Commercial, Palo Alto, CA",-122.1005801,37.4228106,,Palo Alto,California,1950,,electronics,,,,Founding date unclear,
Alhouse Building,"2450 El Camino Real, Palo Alto, CA",-122.1454668,37.4246547,,Palo Alto,California,1960,,non-industrial,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,Founding date unclear,
Allen Electronic Corp,"937 Industrial, Palo Alo, CA",,,,Palo Alto,California,,,,,,,,
Alpar Manufacturing Corp,"220 Demelter, Palo Alto, CA",,,,Palo Alto,California,1957,,,,,,Founding date unclear,
Altera,101 Innovation Drive,,,95134,San Jose,California,1983,,electronics,Computer History Museum,,,,
AMDAHL,2200 LAWSON LN.,-121.963261,37.375198,95050,,California,1970,,hardware manufacturing,Rich's Complete Guide to Silicon Valley,,,,
American Microsystems Inc (AMI),3800 Homestead Road,-122.0649879,37.3374866,95014,Santa Clara,California,1966,1988,chip manufacturing,,,,Relocated to Idaho in 1988.,
Ampex Corp.,814 SAN ALESO DR.,-122.023851,37.371042,94086,,California,,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,728 SAN ALESO AVE .,-122.026872,37.396359,94086,,California,,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,465 W. MAUDE AVE.,-122.03144,37.389991,94086,,California,,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,10435 N. TANTAU AVE.,-122.005863,37.328925,95014,,California,,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Ampex Corp.,"301 Town and Country Village, Palo Alto, CA",,,,Palo Alto,California,,,electronics,,,,,
Ampex Corporation, 500 Broadway,,,94063,Redwood City,California,1944,,electronics,,,,,
Amseo Electronics,"4007 Transport, Palo Alto, CA",-122.100021263815,37.4261795,,Palo Alto,California,,,,,,,,
Antekna Inc.,625 Clyde Ct.,-122.047279,37.400697,94043,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Anthem Electronics,,,,,,California,,,chip manufacturing,,,,,
Apple Computer,1335 Bordeaux Dr.,-122.021526,37.414713,94086,,California,1976,,,Rich's Complete Guide to Silicon Valley,,,,
Apple Computer,232 Java Dr.,-122.016605,37.411236,94086,,California,1976,,,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER,2720 ORCHARD PKWY.,-121.933015,37.386567,95134,,California,1976,,hardware manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER,3073 N. 1ST ST.,-121.935406,37.396149,95131,,California,1976,,hardware manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER INC .,10260 BANDLEY DR.,-122.03432,37.327437,95014,,California,1976,,hardware manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLE COMPUTER INC.,10260 BUBB RD.,-122.049987,37.318845,95014,,California,1976,,hardware manufacturing,Rich's Complete Guide to Silicon Valley,,,,
Apple Computer,1 Infinity Loop,,,95014,Cupertino,California,1993,,,,,,,
APPLICON INC.,2540 MISSION COLLEGE BLV.,-121.935679,37.34357,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Applied Magnetics,,,,,,California,,,hardware manufacturing,,,,,
APPLIED MATERIALS INC .,3400 CENTRAL EXP.,-121.991261,37.377572,95051,Santa Clara,California,1967,,semiconductor manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED MATERIALS INC.,3001 OAKMEAD VILLAGE DR.,-121.980423,37.375959,95051,Santa Clara,California,1967,,semiconductor manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED MATERIALS INC.,2940 KIFER RD.,-121.981225,37.374089,95051,Santa Clara,California,1967,,semiconductor manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED MATERIALS INC.,2727 AUGUSTINE DR.,-121.976213,37.382354,95051,Santa Clara,California,1967,,semiconductor manufacturing,Rich's Complete Guide to Silicon Valley,,,,
APPLIED TECH/ITEK,525 ALMANOR AVE.,-122.028853,37.396377,94086,,California,1957,,,Rich's Complete Guide to Silicon Valley,,,,
APPLIED TECH/ITEK,750 ARQUES AVE .,-122.013356,37.380978,94086,,California,1957,,,Rich's Complete Guide to Silicon Valley,,,,
Applied Technology,3410 Hillview Ave,,,,Palo Alto,California,1957,,,"Deseret News, Nov. 16, 1967",,,,
ARTELONICS,2952 BUNKER HILL LN.,-121.980423,37.405685,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
ARTRONIK CIRCUITS INC.,2750 SCOTT BLVD .,-121.959533,37.369921,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Ashton-Tate,,,,,,California,,,software,,,,,
Ask Computer Systems Inc.,730 Distel Dr.,-122.104203,37.394985,94022,,California,1972,1994,,Rich's Complete Guide to Silicon Valley,,,,
Associated Radio Distributors,"459 California Ave, Palo Alto, CA",-122.1452046,37.4256122,,Palo Alto,California,,,,,,,,
AST Research,,,,,,California,,,hardware manufacturing,,,,,
ATARI,2710 N. 1ST ST.,-121.929896,37.389031,95131,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
ATARI,790 SYCAMORE DR .,-121.919173,37.40761,95035,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
ATARI,715 SYCAMORE DR.,-121.916618,37.408677,95035,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1272 Borregas Ave,-122.018385,37.410451,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,155 Moffett Park Dr.,-122.023328,37.404068,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1183 Bordeaux Dr.,-122.0236,37.408356,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1320 Bordeaux Dr.,-122.021686,37.414143,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,390 Caribbean Dr.,-122.009314,37.41576,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1340 Bordeaux Dr.,-122.021492,37.414956,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1383 Borregas Ave.,-122.016557,37.416064,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,Original site of Atari,
Atari Inc.,275 Gibraltar Dr.,-122.016363,37.409773,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1399 Moffett Park Dr.,-122.00064,37.41183,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Atari Inc.,1285 Forgewood Ave.,-121.992,37.409528,94086,,California,1972,,electronics,Rich's Complete Guide to Silicon Valley,,,,
Autodesk,,,,,,California,,,software,,,,,
AVANTEK INC.,481 COTTONWOOD DR.,-121.912029,37.40535,95035,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Aydin Corporation,"3180 Hanover St, Palo Alto, CA",-122.1464616,37.4141881,,Palo Alto,California,,,,,,,,
Aydin Energy Division,3180 Hanover St.,-122.143352,37.415343,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Aydin Systems Div. Mfg.,640 Clyde Ct.,-122.049289,37.400633,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
B.N.R. Inc.,685 E. Middlefield Rd.,-122.07431,37.38802,94042,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Beckman Instruments,"1117 California Avenue, Palo Alto, CA",-122.149023672821,37.42035945,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Beckman Instruments Inc Systems,"256 Town and Country Village, Palo Alto, CA",,,,Palo Alto,California,,,,,,,,
Beckman Instruments Inc.,950 Page Mill Rd.,-122.144941,37.419734,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Becton Dickinson Elect. Labs,506 Clyde Ave,-122.046995,37.398432,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
BECTON DICKINSON FACS SYSTEMS,470 LAKESIDE DR.,-121.993368,37.382649,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Bell Industries,2599 Garcia Ave.,-122.094604,37.426447,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Bell Industries…sion Metalcraft,2637 Marine Way,-122.098136,37.428882,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
BENSON INC.,2694 ORCHARD PKWY.,-121.93286,37.386173,95134,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
BERG ELECTRONICS,3375 SCOTT BLVD. #208,-121.984714,37.380594,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Boole and Babbage,,,,,,California,,,software,,,,,
Borland International,,,,,,California,,,software,,,,,
Brand William Electronic Components Inc,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,,,,,,,,,,,
Broderbund Software,,,,,,California,,,software,,,,,
Businessland,,,,,,California,,,distribution,,,,,
CAELUS MEMORIES INC.,1015 TIMOTHY DR.,-121.880721,37.363902,95133,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CAELUS MEMORIES INC.,1015 TIMOTHY DR.,-121.880721,37.363902,95133,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Cal-Mac (bankrupt),"175 Weeks St, Palo Alto, CA",,,,Palo Alto,California,,,,,,,,
CALIF. MICROWAVE INC.,760 N. MARY AVE.,-122.035797,37.396597,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Calma Company,225 Humboldt Ct.,-122.01828,37.408155,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Calma Company,213 Gibraltar,-122.018021,37.41013,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CALMA COMPANY,527 LAKESIDE DR.,-121.993367,37.385005,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CANDELA ELECTRONICS,550 DEL REY,-122.023851,37.371042,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Carad Corporation,"3381 Junipero Serra Blvd., Palo Alto, CA",,,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
CDI CORP.,50 W. BROKAW RD.,-121.901914,37.338251,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CDI CORP.,50 W. BROKAW RD.,-121.901914,37.338251,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CHEMICAL SYS.,1050 E. ARQUES AVE.,-122.000417,37.380482,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Chips and Technologies,,,,,,California,,,chip manufacturing,,,,,
Circo Inc.,"940 Hamlin Ct, Sunnyvale, CA",-122.029754050461,37.4006049732311,,Sunnyvale,California,,,,,,,,
"Clark, Stromquist, Potter & Ehrlich","3200 Hanover Street, Palo Alto, CA",-122.14584472372,37.414551,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Coherent Inc.,3270 W. Bayshore Road,-122.112178,37.438142,94303,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Collins Electronics Sales Inc,"53 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,,Palo Alto,California,,,,,,,,
COMMODORE BUSINESS MACHINES,3330 SCOTT BLVD.,-121.980889,37.380471,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
COMMODORE BUSINESS MACHINES,390 REED ST.,-121.938351,37.360933,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Components for Research Inc,"979 Commercial Road, Palo Alto, CA",,,,Palo Alto,,,,,,,,,
Computerland,,,,,,California,,,distribution,,,,,
Conner Peripherals,,,,,,California,,,hardware manufacturing,,,,,
Consolidated Development,NW Corner Hanover and Page Mill,,,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Consolidated Micrographics,303 Ravendale Dr.,-122.054595,37.388996,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Consolidated Vacuum Corp,"4015 Fabian Way, Palo Alto, CA",-122.1042399,37.4258394,,Palo Alto,California,,,,,,,,
Control Data Corp.,1330 Orleans Dr.,-122.006847,37.411006,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Coopertronix ,"809 San Antonio, Palo Alto, CA",,,,Palo Alto,California,,,,,,,,
Corbin-Farnsworth Inc,"440 Page Mill Road, Palo Alto, CA",-122.141250300603,37.423860149296,,Palo Alto,California,,,,,,,,
Cornell-Dubiliar,"553 Cowper, Palo Alto, CA",-122.1585216915,37.4479985456265,,Palo Alto,California,,,,,,,,
Corning A.C.I.,490 San Antonio Road,-122.104899,37.413212,94303,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CPS INC.,110 WOLFE RD .,-122.013809,37.375565,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
CTS Printex Inc.,1950 Colony St  ,-122.088975018765,37.4158386083038,,,California,,,,,,,,
Cypress Semiconductor,,,,,,California,,,chip manufacturing,,,,,
D.M.C.,2300 OWEN ST.,-121.966473,37.376075,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Data Control Systems Inc,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,,Palo Alto,California,,,,,,,,
DATA PRODUCTS,2550 ZANKER RD.,-121.923462,37.387611,95131,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
DATA QUEST INC.,10340 BUBB RD.,-122.049522,37.317594,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
DATAPOINT PERIP…AL PRODUCT INC.,810 W. MAUDE AVE .,-122.034615,37.391009,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Delcon Corp,"943 Industrial, Palo Alto, CA",-122.0990143,37.423557,,Palo Alto,California,,,,,,,,
Diasonics,1235 Bordeaux Dr.,-122.022819,37.410801,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
DIASONICS,1545 BARBER LANE,-121.9108,37.407716,95035,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
DIETZGEN,3185 DE LaCRUZ BLVD.,-121.940942,37.381489,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
DIGITAL EQUIPMENT CORP.,2525 AUGUSTINE DR.,-121.973496,37.382366,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
DOHRMANN-ENVIROTECH,3240 SCOTT BLVD.,-121.970644,37.379431,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Dura Bond,"3201 Ash St, Palo Alto, CA",-122.136709003212,37.422597,,Palo Alto,California,,,,,,,,
Dymec,"395 Page Mill Road, Palo Alto, CA",-122.1393686,37.4257063,,Palo Alto,,,,,,,,,
Eastman Kodac Co.,"925 Page Mill Rd, Palo Alto, CA",-122.143423293266,37.4187805,,Palo Alto,California,,,,,,,,
Eastman Kodack Processing Lab,"925 Page Mill Road, Palo Alto, CA",-122.143423293266,37.4187805,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Eastman Kodak Co.,925 Page Mill Rd.,-122.144927,37.419496,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EATON CORP. / MACRODATA,1115 ARQUES AVE.,-121.999848,37.380498,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EATON SEMICONDUCTOR,3500 GARRETT DR.,-121.985342,37.38221,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Echo Corp,"809 San Antonio Road, Palo Alto, CA",-122.1022081,37.4206677,,Palo Alto,California,,,,,,,,
Electrical Materials Corp,"810 San Antonio Rd, Palo Alto, CA",,,,Palo Alto,California,,,,,,,,
Electro Scientific Industries,,,,,,Oregon,,,,,,,,
Electronic Arrays Inc.,555 Ellis St.,-122.05161,37.401636,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Electronic Motive Manufacturing Company,"535 Middlefield Road, Palo Alto, CA",-122.1362592,37.4377862,,Palo Alto,California,,,,,,,,
Epson,,,,,,Oregon,,,,,,,,
ESL Inc.,"425 Tasman Ave, Sunnyvale, CA",,,,Sunnyvale,California,,,,,,,,
Everex Systems,,,,,,California,,,hardware manufacturing,,,,,
EXSIL,6540 VIA DEL ORO,-121.785671,37.236466,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EXSIL,6540 VIA DEL ORO,-121.785671,37.236466,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
EXXON OFFICE SYSTEMS,3960 FREEDOM CIRCLE,-121.972124,37.386085,95054,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
F.M.C. CORP.,1185 COLEMAN AVE.,-121.932819,37.35675,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild,3440 Hillview Ave.,-122.143956,37.397349,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild,4001 Miranda Ave.,-122.139755,37.401638,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD (SEMI…ONDUCTOR BLDG.),101 BERNAL RD.,-121.773443,37.230657,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD (SEMI…ONDUCTOR BLDG.),101 BERNAL RD.,-121.773443,37.230657,95119,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD BIPOLAR DIV.,1801 McCARTHY BLVD.,-121.914706,37.401472,95035,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD CAMER… AND INSTRUMENT,1601 TECHNOLOGY DR.,-121.91579,37.36429,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD CAMER… AND INSTRUMENT,1601 TECHNOLOGY DR.,-121.91579,37.36429,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild Camera & Instru.,465 National Ave.,-122.053348,37.401324,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fairchild Semi-Conductor Corp.,"4001 Miranda Ave, Palo Alto, CA",-122.1305947,37.3946145,,Palo Alto,California,,,,,,,,
Fairchild Semiconductor Corp,"884 Charleston Rd, Palo Alto, CA",,,,Palo Alto,California,,,,,,,,
Fairchild Semiconductor Corp,"378 Cambridge Road, Palo Alto, CA",,,,Palo Alto,California,,,,,,,,
Fairchild Semiconductor Corp.,"464 Ellis St, Mountain View, CA",-122.052383387666,37.3999973546245,,Mountain View,California,,,,,,,,
FAIRCHILD TEST SYS. GROUP,1725 TECHNOLOGY DR.,-121.916893,37.365079,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD TEST SYS. GROUP,1725 TECHNOLOGY DR.,-121.916893,37.365079,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD-CMOS/LIC,3105 ALFRED ST.,-121.958591,37.378312,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FAIRCHILD-MICROPROCESSOR DIV.,3420 CENTRAL EXP.,-121.991825,37.377572,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Farnsworth Electronic Co,"815 San Antonio Road, Palo Alto, CA",-122.102380297532,37.420688,,Palo Alto,California,,,,,,,,
FEDERAL PACIFIC ELEC. CO.,1200 PIPER DR .,-121.891463,37.411462,95035,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FERIX,611 VAQUEROS AVE.,-122.032129,37.39326,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Ferro-Magnetics,"989 Commercial, Palo Alto, CA",,,,Palo Alto,California,,,electrical manufacturing,,,,,
Filtron Co,"926 Industrial, Palo Alto, CA",-122.0980412,37.4228683,,Palo Alto,California,,,,,,,,
FISHER SWITCHES INC.,3381 EDWARD AVE.,-121.941609,37.385874,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Flight Dynamics,,,,,,Oregon,1977,,hardware manufacturing,"Dodds and Wollner, *The Silicon Frontier*, p. 64.",,,,
Floating Point Systems,,,,,,Oregon,,,,,,,,
FMC CORP.,245 CHARCOT AVE.,-121.918085,37.380458,95131,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FMC CORP.,1830 BERING DR.,-121.911912,37.373148,95112,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FMC CORP.,1115 COLEMAN AVE.,-121.923709,37.352274,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FMC CORP.,1115 COLEMAN AVE.,-121.923709,37.352274,95110,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Ford Aerospace …mp; Comm. Corp.,1260 Crossman Ave.,-122.010381,37.410339,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FOUR PHASE SYSTEMS INC.,2200 MARTH; AVE.,-121.948812,37.345983,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
FOUR-PHASE SYSTEMS I NC.,10500 N. De ANZA BLVD.,-122.032192,37.328867,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Fujitsu,,,,,,Oregon,,,hardware manufacturing,,,,,
FXR Inc,"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,,Palo Alto,California,,,,,,,,
G.E. Traveling Tube Division,"601 S. California Ave, Palo Alto, CA",-122.145894320475,37.423271872748,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
G.S. TEMPRESS,1510 DELL AVE.,-121.956119,37.264462,95008,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
G.T.E. Fibre Optics,1395 Charleston Rd.,-122.077096,37.420443,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
G.T.E. Sylvania,685 E. Middlefield Rd.,-122.051413,37.394029,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
G.T.E. Sylvania,100 Ferguson Dr.,-122.057415,37.388228,94043,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GCA CORP.,3570 RYDER ST.,-121.994859,37.376342,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GCA IC SYSTEMS,720 PALOMAR AVE .,-122.034233,37.395885,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GCA IC SYSTEMS,1050 KIFER RD.,-122.002629,37.373871,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Capacitor Co,"755 Loma Verde Ave, Palo Alto, CA",-122.1222506,37.4305506,,,,,,,,,,,
GENERAL DEVICES INC.,2355 DE LaCRUZ BLVD.,-121.941451,37.364151,95050,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Elec. Co./Space Div.,1277 Orleans Dr.,-122.00728,37.409789,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Electric Atomic Products Division,"701 University Ave, Palo Alto, CA",-122.156775,37.450858,,Palo Alto,California,,,,,,,,
GENERAL ELECTRIC CO.,310 DE GUIGNE DR.,-122.007233,37.381184,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GENERAL ELECTRIC CO.,2155 S. 1ST ST.,-121.873859,37.31644,95112,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GENERAL ELECTRIC CO.,2155 S. 1ST ST.,-121.873859,37.31644,95112,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
General Electric Ordnance Department,"2443 Ash Rim, Palo Alto, CA",,,,Palo Alto,California,,,electrical manufacturing,,,,,
General Electric Powertabe and Microwave Department,"601 California Ave, Palo Alto, CA",-122.1430031,37.4285379,,Palo Alto,California,,,,,,,,
General Instrument Corp,3400 Hillview Ave.,-122.146002,37.403466,94304,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GENERAL TECHNOLOGY CORP.,1028 W. MAUDE AVE.,-122.043315,37.393885,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GENRAD INC.,2855 BOWERS AVE.,-121.977604,37.373101,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
Gianni Controls Corp,"271 Town & Country Road, Palo Alto, CA",1.8774979,7.7227067,,Palo Alto,California,,,,,,,,
Ginn & Co.,"2550 Hanover Street, Palo Alto, CA",-122.149545519769,37.4180825,,Palo Alto,California,,,,"Number of Employees and Value of Buildings in Stanford Industrial Park,' December 7, 1960, Folder 10, Frederick Terman Papers, SUA",,,,
Gould -- S.E.L. Computer Sys.,1289 Anvilwood Ave.,-121.993788,37.408698,94086,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GOULD DeA ZA IM… & GRAPHICS,1870 LUNDY AVE.,-121.889915,37.392046,95131,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GOULD INC.,3211-7A SCOTT BLVD.,-121.983478,37.346518,95051,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
GOULD INC/BIOMATION DIV.,4600 OLD IRONSIDES DR .,-121.979537,37.396334,95014,,California,,,,Rich's Complete Guide to Silicon Valley,,,,
